id,name
350000,Luar Negeri
010000,Prov. D.K.I. Jakarta
020000,Prov. Jawa Barat
030000,Prov. Jawa Tengah
040000,Prov. D.I. Yogyakarta
050000,Prov. Jawa Timur
060000,Prov. Aceh
070000,Prov. Sumatera Utara
080000,Prov. Sumatera Barat
090000,Prov. Riau
100000,Prov. Jambi
110000,Prov. Sumatera Selatan
120000,Prov. Lampung
130000,Prov. Kalimantan Barat
140000,Prov. Kalimantan Tengah
150000,Prov. Kalimantan Selatan
160000,Prov. Kalimantan Timur
170000,Prov. Sulawesi Utara
180000,Prov. Sulawesi Tengah
190000,Prov. Sulawesi Selatan
200000,Prov. Sulawesi Tenggara
210000,Prov. Maluku
220000,Prov. Bali
230000,Prov. Nusa Tenggara Barat
240000,Prov. Nusa Tenggara Timur
250000,Prov. Papua
260000,Prov. Bengkulu
270000,Prov. Maluku Utara
280000,Prov. Banten
290000,Prov. Kepulauan Bangka Belitung
300000,Prov. Gorontalo
310000,Prov. Kepulauan Riau
320000,Prov. Papua Barat
330000,Prov. Sulawesi Barat
340000,Prov. Kalimantan Utara
